id,first_name,last_name,country_code,date_of_birth,email,facebook,twitter
28161,Margrete,AUKEN,DNK,,,,
37312,Christel,SCHALDEMOSE,DNK,1967-08-04,christel.schaldemose@europarl.europa.eu,https://www.facebook.com/ChristelSchaldemose,https://twitter.com/SchaldemoseMEP
96709,Morten,LØKKEGAARD,DNK,,morten.lokkegaard@europarl.europa.eu,https://www.facebook.com/morten.lokkegaard,http://twitter.com/loekkegaard_mep
101585,Niels,FUGLSANG,DNK,1985-06-29,niels.fuglsang@europarl.europa.eu,https://www.facebook.com/FuglsangEP19,https://twitter.com/NielsFuglsang
124872,Morten,PETERSEN,DNK,1966-09-14,,,
124875,Anders,VISTISEN,DNK,1987-11-12,,,
197515,Pernille,WEISS-EHLER,DNK,1968-03-12,,,
197555,Søren,GADE,DNK,1963-01-27,,,
197558,Asger,CHRISTENSEN,DNK,1958-01-08,asger.christensen@europarl.europa.eu,,
197567,Karen,MELCHIOR,DNK,1980-10-15,,,
197570,Peter,KOFOD,DNK,1990-02-27,,,
197571,Nikolaj,VILLUMSEN,DNK,1983-02-28,,,
197573,Kira Marie,PETER-HANSEN,DNK,1998-02-23,kira.peter-hansen@europarl.europa.eu,https://www.facebook.com/Kira.M.P.Hansen/,https://twitter.com/kira_mph
199941,Marianne,VIND,DNK,1970-12-03,marianne.vind@europarl.europa.eu,https://www.facebook.com/MarianneVindEP,https://twitter.com/mariannevind?lang=en
204331,Linea,SØGAARD-LIDELL,DNK,1987-03-30,,,
239972,Erik,POULSEN,DNK,1967-06-16,,,
239973,Bergur Løkke,RASMUSSEN,DNK,1990-03-04,,,
